id,fen,plies
KK,,
KNK,,
KBK,,
KRK,7K/8/8/8/8/8/2k5/1R6 w - - ,31
KQK,7K/6Q1/8/8/8/3k4/8/8 w - - ,19
KKN,,
KKB,,
KKR,,
KKQ,,
KPK,8/8/8/1k6/8/8/K5P1/8 w - - ,55
KKP,,
KNNK,8/8/8/8/8/2N5/8/k1K1N3 w - - ,1
KBNK,8/8/8/8/8/7B/8/Nk5K w - - ,65
KRNK,7K/8/8/8/8/3N4/2k5/1R6 w - - ,31
KQNK,7K/7N/8/8/8/2k5/7Q/8 w - - ,17
KNKN,8/8/8/8/8/8/n1K5/k1N5 w - - ,1
KNKB,8/8/8/8/8/8/b7/k1K1N3 w - - ,1
KNKR,8/8/8/8/8/8/r2N4/k1K5 w - - ,1
KNKQ,,
KBBK,8/8/8/8/7B/8/3k4/K2B4 w - - ,37
KRBK,K7/8/8/8/8/3B4/3k4/2R5 w - - ,31
KQBK,7K/8/8/8/8/2k5/2B4Q/8 w - - ,15
KBKN,8/8/8/8/8/8/n1K5/k1B5 w - - ,1
KBKB,8/8/8/8/8/8/b7/k1K1B3 w - - ,1
KBKR,,
KBKQ,,
KRRK,8/8/7K/4R3/8/8/1k6/R7 w - - ,13
KQRK,K7/8/7Q/8/8/3k4/2R5/8 w - - ,11
KRKN,8/8/6R1/2K5/n7/8/8/3k4 w - - ,79
KRKB,8/8/8/8/8/8/8/k1b1KR2 w - - ,57
KRKR,8/8/8/8/8/5R2/1r6/K1k5 w - - ,37
KRKQ,8/8/8/8/8/1R6/6q1/K1k5 w - - ,37
KQQK,3Q4/3Q4/8/3K4/8/8/8/2k5 w - - ,7
KQKN,8/8/8/8/8/2k5/2n5/KQ6 w - - ,41
KQKB,8/6Q1/8/4b3/3k4/8/8/K7 w - - ,33
KQKR,8/8/8/8/2r5/8/2k5/K6Q w - - ,69
KQKQ,8/8/8/8/8/8/8/qk1K2Q1 w - - ,25
KKNN,,
KKBN,,
KKRN,,
KKQN,,
KKBB,,
KKRB,,
KKQB,,
KKRR,,
KKQR,,
KKQQ,,
KNPK,1N6/8/8/8/8/2k3P1/8/2K5 w - - ,53
KBPK,8/3P4/KBk5/8/8/8/8/8 w - - ,61
KRPK,8/7K/8/1R6/2kP4/8/8/8 w - - ,31
KQPK,8/8/8/2k5/8/3P4/8/5Q1K w - - ,19
KPKN,8/8/8/k7/8/n7/K5P1/8 w - - ,57
KPKB,8/8/8/k7/8/b7/K5P1/8 w - - ,57
KPKR,8/2k5/4KP2/2r5/8/8/8/8 w - - ,85
KPKQ,8/8/8/k7/8/q7/K5P1/8 w - - ,57
KNKP,8/8/8/8/p7/8/N7/k1K5 w - - ,13
KBKP,8/8/8/8/8/8/p7/k1K1B3 w - - ,1
KRKP,8/8/6K1/2R5/1p6/1k6/8/8 w - - ,51
KQKP,2QK4/8/8/8/8/8/3kp3/8 w - - ,55
KKNP,,
KKBP,,
KKRP,,
KKQP,,
KPPK,8/8/8/8/8/2k3P1/6P1/K7 w - - ,63
KPKP,3K4/8/4p3/8/8/8/2P5/2k5 w - - ,65
KKPP,,
KNNNK,8/8/8/8/8/8/2k4N/1N4KN w - - ,41
KBNNK,K7/8/8/8/8/8/2NkN3/3B4 w - - ,67
KRNNK,7K/8/8/8/8/1Nk5/1RN5/8 w - - ,29
KQNNK,6NN/7Q/7K/8/8/8/3k4/8 w - - ,15
KNNKN,7n/8/8/8/8/2K5/8/k2N1N2 w - - ,13
KNNKB,8/8/8/8/1N6/8/1b6/k1NK4 w - - ,7
